,ds,y,PIB_RS_TRIMESTRE_ANTERIOR,PIB_BR_MES_ANTERIOR,ADMISSOES_MES_ANTERIOR,DEMISSOES_MES_ANTERIOR,ARRECADACAO_D-5,ARRECADACAO_D-4,ARRECADACAO_D-3,ARRECADACAO_D-2,ARRECADACAO_D-1
0,2009-01-09,224862372.69514182,116.43083219561099,650097.5728613253,887299.0,1542245.0,3593705.7274167244,10890404.26702637,13580567.820981303,15819474.581879733,329683.77914169
1,2009-01-12,1027758458.3662703,116.43083219561099,650097.5728613253,887299.0,1542245.0,10890404.26702637,13580567.820981303,15819474.581879733,329683.77914169,224862372.69514182
2,2009-01-13,35195227.02455774,116.43083219561099,650097.5728613253,887299.0,1542245.0,13580567.820981303,15819474.581879733,329683.77914169,224862372.69514182,1027758458.3662703
3,2009-01-14,150439583.70709664,116.43083219561099,650097.5728613253,887299.0,1542245.0,15819474.581879733,329683.77914169,224862372.69514182,1027758458.3662703,35195227.02455774
4,2009-01-15,218217398.00988036,116.43083219561099,650097.5728613253,887299.0,1542245.0,329683.77914169,224862372.69514182,1027758458.3662703,35195227.02455774,150439583.70709664
5,2009-01-16,43866609.16985402,116.43083219561099,650097.5728613253,887299.0,1542245.0,224862372.69514182,1027758458.3662703,35195227.02455774,150439583.70709664,218217398.00988036
6,2009-01-19,32147565.30861736,116.43083219561099,650097.5728613253,887299.0,1542245.0,1027758458.3662703,35195227.02455774,150439583.70709664,218217398.00988036,43866609.16985402
7,2009-01-20,29234972.950810138,116.43083219561099,650097.5728613253,887299.0,1542245.0,35195227.02455774,150439583.70709664,218217398.00988036,43866609.16985402,32147565.30861736
8,2009-01-21,342195452.5818253,116.43083219561099,650097.5728613253,887299.0,1542245.0,150439583.70709664,218217398.00988036,43866609.16985402,32147565.30861736,29234972.950810138
9,2009-01-22,40855484.801748246,116.43083219561099,650097.5728613253,887299.0,1542245.0,218217398.00988036,43866609.16985402,32147565.30861736,29234972.950810138,342195452.5818253
10,2009-01-23,27102046.173248313,116.43083219561099,650097.5728613253,887299.0,1542245.0,43866609.16985402,32147565.30861736,29234972.950810138,342195452.5818253,40855484.801748246
11,2009-01-26,605467581.101982,116.43083219561099,650097.5728613253,887299.0,1542245.0,32147565.30861736,29234972.950810138,342195452.5818253,40855484.801748246,27102046.173248313
12,2009-01-27,276279808.2050752,116.43083219561099,650097.5728613253,887299.0,1542245.0,29234972.950810138,342195452.5818253,40855484.801748246,27102046.173248313,605467581.101982
13,2009-01-28,17164466.185835395,116.43083219561099,650097.5728613253,887299.0,1542245.0,342195452.5818253,40855484.801748246,27102046.173248313,605467581.101982,276279808.2050752
14,2009-01-29,43956523.31618344,116.43083219561099,650097.5728613253,887299.0,1542245.0,40855484.801748246,27102046.173248313,605467581.101982,276279808.2050752,17164466.185835395
15,2009-01-30,143762990.8759568,116.43083219561099,650097.5728613253,887299.0,1542245.0,27102046.173248313,605467581.101982,276279808.2050752,17164466.185835395,43956523.31618344
16,2009-01-31,13244294.434970202,116.43083219561099,650097.5728613253,887299.0,1542245.0,605467581.101982,276279808.2050752,17164466.185835395,43956523.31618344,143762990.8759568
17,2009-02-01,0.0,116.43083219561099,617207.7255984889,1216550.0,1318298.0,276279808.2050752,17164466.185835395,43956523.31618344,143762990.8759568,13244294.434970202
