,ds,y,ARRECADACAO_D-5,ARRECADACAO_D-4,ARRECADACAO_D-3,ARRECADACAO_D-2,ARRECADACAO_D-1
0,2009-01-09,421701485.08218867,57425938.60803228,89651031.03337453,91118303.03347409,93564767.42102201,13897316.32150929
1,2009-01-12,16021003.445011348,89651031.03337453,91118303.03347409,93564767.42102201,13897316.32150929,421701485.08218867
2,2009-01-13,15460659.101073254,91118303.03347409,93564767.42102201,13897316.32150929,421701485.08218867,16021003.445011348
3,2009-01-14,21252065.197809566,93564767.42102201,13897316.32150929,421701485.08218867,16021003.445011348,15460659.101073254
4,2009-01-15,6892836.948576951,13897316.32150929,421701485.08218867,16021003.445011348,15460659.101073254,21252065.197809566
5,2009-01-16,6449655.153944391,421701485.08218867,16021003.445011348,15460659.101073254,21252065.197809566,6892836.948576951
6,2009-01-19,7002308.281173404,16021003.445011348,15460659.101073254,21252065.197809566,6892836.948576951,6449655.153944391
7,2009-01-20,7956673.836648755,15460659.101073254,21252065.197809566,6892836.948576951,6449655.153944391,7002308.281173404
8,2009-01-21,6902231.192015462,21252065.197809566,6892836.948576951,6449655.153944391,7002308.281173404,7956673.836648755
9,2009-01-22,6479847.842521048,6892836.948576951,6449655.153944391,7002308.281173404,7956673.836648755,6902231.192015462
10,2009-01-23,6841331.397713808,6449655.153944391,7002308.281173404,7956673.836648755,6902231.192015462,6479847.842521048
11,2009-01-26,9224365.170210697,7002308.281173404,7956673.836648755,6902231.192015462,6479847.842521048,6841331.397713808
12,2009-01-27,9439895.78111103,7956673.836648755,6902231.192015462,6479847.842521048,6841331.397713808,9224365.170210697
13,2009-01-28,11965139.656909965,6902231.192015462,6479847.842521048,6841331.397713808,9224365.170210697,9439895.78111103
14,2009-01-29,18270182.966464706,6479847.842521048,6841331.397713808,9224365.170210697,9439895.78111103,11965139.656909965
15,2009-01-30,39287531.258141935,6841331.397713808,9224365.170210697,9439895.78111103,11965139.656909965,18270182.966464706
16,2009-01-31,3740288.858028025,9224365.170210697,9439895.78111103,11965139.656909965,18270182.966464706,39287531.258141935
17,2009-02-02,4005301.43528323,9439895.78111103,11965139.656909965,18270182.966464706,39287531.258141935,3740288.858028025
18,2009-02-03,5508459.574334804,11965139.656909965,18270182.966464706,39287531.258141935,3740288.858028025,4005301.43528323
19,2009-02-04,5492328.810553269,18270182.966464706,39287531.258141935,3740288.858028025,4005301.43528323,5508459.574334804
20,2009-02-05,5763257.937338439,39287531.258141935,3740288.858028025,4005301.43528323,5508459.574334804,5492328.810553269
21,2009-02-06,5826982.589780869,3740288.858028025,4005301.43528323,5508459.574334804,5492328.810553269,5763257.937338439
22,2009-02-09,7004186.250664842,4005301.43528323,5508459.574334804,5492328.810553269,5763257.937338439,5826982.589780869
23,2009-02-10,5984710.087991549,5508459.574334804,5492328.810553269,5763257.937338439,5826982.589780869,7004186.250664842
24,2009-02-11,5319108.408635095,5492328.810553269,5763257.937338439,5826982.589780869,7004186.250664842,5984710.087991549
25,2009-02-12,5802480.876201914,5763257.937338439,5826982.589780869,7004186.250664842,5984710.087991549,5319108.408635095
26,2009-02-13,5400821.76443141,5826982.589780869,7004186.250664842,5984710.087991549,5319108.408635095,5802480.876201914
27,2009-02-16,6475632.639514663,7004186.250664842,5984710.087991549,5319108.408635095,5802480.876201914,5400821.76443141
28,2009-02-17,6140413.660645444,5984710.087991549,5319108.408635095,5802480.876201914,5400821.76443141,6475632.639514663
29,2009-02-18,6475900.177689906,5319108.408635095,5802480.876201914,5400821.76443141,6475632.639514663,6140413.660645444
30,2009-02-19,6195829.23549596,5802480.876201914,5400821.76443141,6475632.639514663,6140413.660645444,6475900.177689906
31,2009-02-20,7057459.377246433,5400821.76443141,6475632.639514663,6140413.660645444,6475900.177689906,6195829.23549596
32,2009-02-25,9685683.277492022,6475632.639514663,6140413.660645444,6475900.177689906,6195829.23549596,7057459.377246433
33,2009-02-26,14427685.95531166,6140413.660645444,6475900.177689906,6195829.23549596,7057459.377246433,9685683.277492022
34,2009-02-27,34261550.6701153,6475900.177689906,6195829.23549596,7057459.377246433,9685683.277492022,14427685.95531166
35,2009-02-28,2950970.38337579,6195829.23549596,7057459.377246433,9685683.277492022,14427685.95531166,34261550.6701153
36,2009-03-02,7491516.370190384,7057459.377246433,9685683.277492022,14427685.95531166,34261550.6701153,2950970.38337579
37,2009-03-03,6439678.897078919,9685683.277492022,14427685.95531166,34261550.6701153,2950970.38337579,7491516.370190384
