,ds,y,ARRECADACAO_D-5,ARRECADACAO_D-4,ARRECADACAO_D-3,ARRECADACAO_D-2,ARRECADACAO_D-1
0,2009-01-12,247309.29760165163,108155.91527417017,238817.40175088219,382047.07880375424,292564.3504370617,1486864.1047981612
1,2009-01-13,594799.0320529453,238817.40175088219,382047.07880375424,292564.3504370617,1486864.1047981612,247309.29760165163
2,2009-01-14,477741.28743165877,382047.07880375424,292564.3504370617,1486864.1047981612,247309.29760165163,594799.0320529453
3,2009-01-15,344571.60063223855,292564.3504370617,1486864.1047981612,247309.29760165163,594799.0320529453,477741.28743165877
4,2009-01-16,509165.75208047207,1486864.1047981612,247309.29760165163,594799.0320529453,477741.28743165877,344571.60063223855
5,2009-01-19,568477.0293889922,247309.29760165163,594799.0320529453,477741.28743165877,344571.60063223855,509165.75208047207
6,2009-01-20,278118.73853199993,594799.0320529453,477741.28743165877,344571.60063223855,509165.75208047207,568477.0293889922
7,2009-01-21,567130.1262108146,477741.28743165877,344571.60063223855,509165.75208047207,568477.0293889922,278118.73853199993
8,2009-01-22,718371.4101644289,344571.60063223855,509165.75208047207,568477.0293889922,278118.73853199993,567130.1262108146
9,2009-01-23,471386.6761737704,509165.75208047207,568477.0293889922,278118.73853199993,567130.1262108146,718371.4101644289
10,2009-01-26,503508.2994090516,568477.0293889922,278118.73853199993,567130.1262108146,718371.4101644289,471386.6761737704
11,2009-01-27,266297.6394055376,278118.73853199993,567130.1262108146,718371.4101644289,471386.6761737704,503508.2994090516
12,2009-01-28,252229.41326500432,567130.1262108146,718371.4101644289,471386.6761737704,503508.2994090516,266297.6394055376
13,2009-01-29,341581.55558780034,718371.4101644289,471386.6761737704,503508.2994090516,266297.6394055376,252229.41326500432
14,2009-01-30,694190.3222273308,471386.6761737704,503508.2994090516,266297.6394055376,252229.41326500432,341581.55558780034
15,2009-02-02,300523.67164919473,503508.2994090516,266297.6394055376,252229.41326500432,341581.55558780034,694190.3222273308
16,2009-02-03,333743.1592794433,266297.6394055376,252229.41326500432,341581.55558780034,694190.3222273308,300523.67164919473
17,2009-02-04,387035.22683477384,252229.41326500432,341581.55558780034,694190.3222273308,300523.67164919473,333743.1592794433
18,2009-02-05,471284.2100467082,341581.55558780034,694190.3222273308,300523.67164919473,333743.1592794433,387035.22683477384
19,2009-02-06,374284.2076483574,694190.3222273308,300523.67164919473,333743.1592794433,387035.22683477384,471284.2100467082
20,2009-02-09,1110482.6646230612,300523.67164919473,333743.1592794433,387035.22683477384,471284.2100467082,374284.2076483574
21,2009-02-10,267812.3144327965,333743.1592794433,387035.22683477384,471284.2100467082,374284.2076483574,1110482.6646230612
22,2009-02-11,1128698.5118778918,387035.22683477384,471284.2100467082,374284.2076483574,1110482.6646230612,267812.3144327965
23,2009-02-12,502976.0305582829,471284.2100467082,374284.2076483574,1110482.6646230612,267812.3144327965,1128698.5118778918
24,2009-02-13,1102304.917683918,374284.2076483574,1110482.6646230612,267812.3144327965,1128698.5118778918,502976.0305582829
25,2009-02-16,860304.3228500009,1110482.6646230612,267812.3144327965,1128698.5118778918,502976.0305582829,1102304.917683918
26,2009-02-17,406020.73279886285,267812.3144327965,1128698.5118778918,502976.0305582829,1102304.917683918,860304.3228500009
27,2009-02-18,637707.9797468169,1128698.5118778918,502976.0305582829,1102304.917683918,860304.3228500009,406020.73279886285
28,2009-02-19,1837297.3592643526,502976.0305582829,1102304.917683918,860304.3228500009,406020.73279886285,637707.9797468169
29,2009-02-20,371649.04775564745,1102304.917683918,860304.3228500009,406020.73279886285,637707.9797468169,1837297.3592643526
30,2009-02-25,344381.6318121743,860304.3228500009,406020.73279886285,637707.9797468169,1837297.3592643526,371649.04775564745
31,2009-02-26,327273.89309775614,406020.73279886285,637707.9797468169,1837297.3592643526,371649.04775564745,344381.6318121743
32,2009-02-27,545225.9537751339,637707.9797468169,1837297.3592643526,371649.04775564745,344381.6318121743,327273.89309775614
33,2009-03-02,306376.25963688793,1837297.3592643526,371649.04775564745,344381.6318121743,327273.89309775614,545225.9537751339
34,2009-03-03,481942.8901327095,371649.04775564745,344381.6318121743,327273.89309775614,545225.9537751339,306376.25963688793
35,2009-03-04,360496.30112700094,344381.6318121743,327273.89309775614,545225.9537751339,306376.25963688793,481942.8901327095
36,2009-03-05,278322.05298522837,327273.89309775614,545225.9537751339,306376.25963688793,481942.8901327095,360496.30112700094
37,2009-03-06,577172.7980220104,545225.9537751339,306376.25963688793,481942.8901327095,360496.30112700094,278322.05298522837
38,2009-03-09,395563.457694209,306376.25963688793,481942.8901327095,360496.30112700094,278322.05298522837,577172.7980220104
39,2009-03-10,511708.96258092043,481942.8901327095,360496.30112700094,278322.05298522837,577172.7980220104,395563.457694209
40,2009-03-11,952487.2211005179,360496.30112700094,278322.05298522837,577172.7980220104,395563.457694209,511708.96258092043
41,2009-03-12,1543447.056267067,278322.05298522837,577172.7980220104,395563.457694209,511708.96258092043,952487.2211005179
42,2009-03-13,605630.7337314618,577172.7980220104,395563.457694209,511708.96258092043,952487.2211005179,1543447.056267067
43,2009-03-16,411367.6016395951,395563.457694209,511708.96258092043,952487.2211005179,1543447.056267067,605630.7337314618
44,2009-03-17,448364.3945141832,511708.96258092043,952487.2211005179,1543447.056267067,605630.7337314618,411367.6016395951
45,2009-03-18,395306.902394362,952487.2211005179,1543447.056267067,605630.7337314618,411367.6016395951,448364.3945141832
46,2009-03-19,534424.6651124059,1543447.056267067,605630.7337314618,411367.6016395951,448364.3945141832,395306.902394362
47,2009-03-20,296046.32935175375,605630.7337314618,411367.6016395951,448364.3945141832,395306.902394362,534424.6651124059
48,2009-03-23,663292.8215133592,411367.6016395951,448364.3945141832,395306.902394362,534424.6651124059,296046.32935175375
49,2009-03-24,382416.0593894186,448364.3945141832,395306.902394362,534424.6651124059,296046.32935175375,663292.8215133592
50,2009-03-25,237513.28359816383,395306.902394362,534424.6651124059,296046.32935175375,663292.8215133592,382416.0593894186
51,2009-03-26,442542.1351400659,534424.6651124059,296046.32935175375,663292.8215133592,382416.0593894186,237513.28359816383
